Number,H0 Cycles,H1 Cycles,H Cycles,Cycles,H0S0,H0S1,H0S2,H1S0,H1S1,H1S2,HS0,HS1,HS2
0,5870,9392,17610,32872,198,85,10,202,73,16,392,165,30
1,10566,8218,18197,36981,207,69,18,202,77,14,393,163,31
2,7044,14088,17023,38155,200,81,12,208,57,24,391,167,29
3,8805,9392,17023,35220,200,75,15,205,73,16,391,167,29
4,11153,8218,21132,40503,207,67,19,201,77,14,398,153,36
5,7631,10566,20545,38742,201,79,13,206,69,18,397,155,35
6,5283,12914,19371,37568,198,87,9,208,61,22,395,159,33
7,11740,5283,19371,36394,208,65,20,197,87,9,395,159,33
8,7631,7631,19958,35220,202,79,13,202,79,13,396,157,34
9,5870,8805,18784,33459,198,85,10,203,75,15,394,161,32
10,8218,8218,21132,37568,197,77,14,203,77,14,398,153,36
11,4696,8218,18197,31111,195,89,8,200,77,14,393,163,31
12,1761,12914,19958,34633,192,99,3,211,61,22,396,157,34
13,7631,6457,18197,32285,198,79,13,195,83,11,393,163,31
14,4696,9979,21132,35807,189,89,8,206,71,17,398,153,36
15,2348,13501,19371,35220,193,97,4,210,59,23,395,159,33
16,4696,7631,21719,34046,196,89,8,200,79,13,399,151,37
17,7044,12327,19371,38742,195,81,12,208,63,21,395,159,33
18,9979,7631,17610,35220,205,71,17,194,79,13,392,165,30
19,4109,11153,17023,32285,196,91,7,201,67,19,391,167,29
20,9392,9392,22893,41677,204,73,16,205,73,16,401,147,39
21,11740,6457,19958,38155,201,65,20,200,83,11,396,157,34
22,8218,6457,17023,31698,201,77,14,200,83,11,391,167,29
23,8218,7044,19958,35220,194,77,14,201,81,12,396,157,34
24,5870,10566,18197,34633,196,85,10,207,69,18,393,163,31
25,8218,8805,20545,37568,203,77,14,204,75,15,397,155,35
26,6457,7631,18784,32872,200,83,11,200,79,13,394,161,32
27,11153,6457,18784,36394,207,67,19,200,83,11,394,161,32
28,7044,7631,17610,32285,200,81,12,202,79,13,392,165,30
29,8805,8805,14088,31698,202,75,15,204,75,15,386,177,24
30,7631,7631,17610,32872,199,79,13,202,79,13,392,165,30
31,8218,8805,15849,32872,203,77,14,200,75,15,389,171,27
32,7044,8218,17610,32872,196,81,12,203,77,14,392,165,30
33,8805,8218,15849,32872,202,75,15,203,77,14,389,171,27
34,9392,11153,15849,36394,204,73,16,204,67,19,389,171,27
35,7631,8218,19371,35220,198,79,13,202,77,14,395,159,33
36,5870,9979,17023,32872,199,85,10,206,71,17,391,167,29
37,13501,6457,18784,38742,210,59,23,198,83,11,394,161,32
38,8218,12914,19958,41090,201,77,14,209,61,22,396,157,34
39,12914,5870,14675,33459,211,61,22,196,85,10,387,175,25
40,9392,8805,16436,34633,205,73,16,203,75,15,390,169,28
41,5870,6457,15262,27589,197,85,10,199,83,11,388,173,26
42,7631,8805,19958,36394,202,79,13,203,75,15,396,157,34
43,7044,11153,18197,36394,201,81,12,207,67,19,393,163,31
44,14675,7631,15849,38155,214,55,25,201,79,13,389,171,27
45,9392,7044,18784,35220,204,73,16,198,81,12,394,161,32
46,6457,6457,17610,30524,198,83,11,190,83,11,392,165,30
47,6457,7044,17023,30524,199,83,11,199,81,12,391,167,29
48,10566,11153,22306,44025,207,69,18,206,67,19,400,149,38
49,11740,7044,15262,34046,209,65,20,201,81,12,388,173,26
50,2935,6457,17610,27002,194,95,5,199,83,11,392,165,30
51,10566,6457,23480,40503,203,69,18,197,83,11,402,145,40
52,4696,14675,17023,36394,194,89,8,206,55,25,391,167,29
53,6457,6457,19371,32285,196,83,11,200,83,11,395,159,33
54,8805,13501,19958,42264,187,75,15,191,59,23,396,157,34
55,4109,8218,18197,30524,196,91,7,202,77,14,393,163,31
56,2935,6457,20545,29937,194,95,5,197,83,11,397,155,35
57,6457,12327,19958,38742,197,83,11,208,63,21,396,157,34
58,8218,9392,15849,33459,200,77,14,204,73,16,389,171,27
59,6457,9392,19958,35807,200,83,11,205,73,16,396,157,34
60,2348,7044,21132,30524,193,97,4,197,81,12,398,153,36
61,10566,9392,17023,36981,207,69,18,202,73,16,391,167,29
62,3522,11740,21132,36394,194,93,6,205,65,20,398,153,36
63,8805,9979,15849,34633,204,75,15,204,71,17,389,171,27
64,12327,4109,22306,38742,210,63,21,196,91,7,400,149,38
65,7044,9979,18197,35220,201,81,12,205,71,17,393,163,31
66,7631,2935,20545,31111,198,79,13,193,95,5,397,155,35
67,5283,4696,17023,27002,197,87,9,195,89,8,391,167,29
68,4696,15849,15849,36394,186,89,8,211,51,27,389,171,27
69,5870,4696,19958,30524,197,85,10,190,89,8,396,157,34
70,10566,11740,19371,41677,204,69,18,206,65,20,395,159,33
71,7044,9979,15262,32285,199,81,12,201,71,17,388,173,26
72,7044,9979,19371,36394,201,81,12,205,71,17,395,159,33
73,5283,12327,15262,32872,198,87,9,205,63,21,388,173,26
74,9392,11153,15262,35807,202,73,16,204,67,19,388,173,26
75,9392,8218,19958,37568,202,73,16,197,77,14,396,157,34
76,5870,7631,15262,28763,199,85,10,187,79,13,388,173,26
77,10566,9392,16436,36394,207,69,18,203,73,16,390,169,28
78,9392,5283,19371,34046,204,73,16,198,87,9,395,159,33
79,7044,10566,18197,35807,198,81,12,203,69,18,393,163,31
80,9979,11740,15262,36981,206,71,17,209,65,20,388,173,26
81,10566,6457,22306,39329,204,69,18,198,83,11,400,149,38
82,7044,4109,18784,29937,194,81,12,194,91,7,394,161,32
