Number,H0 Cycles,H1 Cycles,H Cycles,Cycles,H0S0,H0S1,H0S2,H1S0,H1S1,H1S2,HS0,HS1,HS2
0,4456,4456,20052,28964,182,89,8,182,89,8,368,153,36
1,6684,8912,17267,32863,186,81,12,188,73,16,363,163,31
2,5013,6127,18381,29521,183,87,9,183,83,11,365,159,33
3,7798,11697,18938,38433,188,77,14,194,63,21,366,157,34
4,7241,7241,18381,32863,186,79,13,187,79,13,365,159,33
5,5570,8355,19495,33420,184,85,10,186,75,15,367,155,35
6,7241,5570,19495,32306,187,79,13,184,85,10,367,155,35
7,5570,5570,21723,32863,181,85,10,184,85,10,371,147,39
8,3899,5570,17267,26736,181,91,7,178,85,10,363,163,31
9,8355,4456,15039,27850,189,75,15,179,89,8,359,171,27
10,11140,9469,14482,35091,192,65,20,190,71,17,358,173,26
11,7798,5570,20052,33420,183,77,14,183,85,10,368,153,36
12,5570,6127,19495,31192,183,85,10,181,83,11,367,155,35
13,9469,7798,18938,36205,191,71,17,188,77,14,366,157,34
14,6684,5013,21723,33420,181,81,12,179,87,9,371,147,39
15,6684,8355,15039,30078,184,81,12,185,75,15,359,171,27
16,5570,9469,19495,34534,184,85,10,191,71,17,367,155,35
17,6684,7241,17267,31192,186,81,12,185,79,13,363,163,31
18,6684,7798,19495,33977,186,81,12,187,77,14,367,155,35
19,7798,5013,16153,28964,188,77,14,180,87,9,361,167,29
20,5570,7241,17267,30078,182,85,10,187,79,13,363,163,31
21,2228,5013,22280,29521,177,97,4,182,87,9,372,145,40
22,7798,6684,20609,35091,185,77,14,183,81,12,369,151,37
23,7798,6684,15596,30078,183,77,14,186,81,12,360,169,28
24,7798,6684,20609,35091,185,77,14,184,81,12,369,151,37
25,6684,7241,15039,28964,185,81,12,187,79,13,359,171,27
26,7798,7798,14482,30078,185,77,14,181,77,14,358,173,26
27,6127,4456,18381,28964,182,83,11,181,89,8,365,159,33
28,4456,8912,16710,30078,177,89,8,189,73,16,362,165,30
29,6127,7241,17824,31192,181,83,11,186,79,13,364,161,32
30,5570,7241,14482,27293,181,85,10,186,79,13,358,173,26
31,7241,11140,14482,32863,185,79,13,191,65,20,358,173,26
32,8912,7798,16153,32863,190,73,16,185,77,14,361,167,29
33,8912,8355,15596,32863,190,73,16,187,75,15,360,169,28
34,7241,6684,18381,32306,181,79,13,183,81,12,365,159,33
35,7798,8912,17267,33977,183,77,14,188,73,16,363,163,31
36,6127,3342,17267,26736,184,83,11,180,93,6,363,163,31
37,5013,4456,17267,26736,182,87,9,182,89,8,363,163,31
38,8355,10026,19495,37876,186,75,15,191,69,18,367,155,35
39,7241,7798,16710,31749,184,79,13,188,77,14,362,165,30
40,6127,8355,15596,30078,185,83,11,182,75,15,360,169,28
