Number,H0 Cycles,H1 Cycles,H Cycles,Cycles,H0S0,H0S1,H0S2,H0S3,H1S0,H1S1,H1S2,H1S3,HS0,HS1,HS2,HS3
779,5870,14088,23480,43438,197,85,10,0,202,69,12,4,398,157,28,4
780,14675,9979,19371,44025,208,70,10,5,205,74,14,1,393,165,27,2
781,9392,9392,25828,44612,204,76,13,1,204,76,13,1,402,149,32,4
782,12914,6457,15849,35220,205,70,13,3,193,86,8,1,389,171,27,0
783,7044,9979,21719,38742,199,81,12,0,206,71,17,0,395,163,25,4
784,9979,8805,25828,44612,204,71,17,0,202,81,9,2,404,143,38,2
785,10566,2348,20545,33459,200,72,15,1,192,97,4,0,395,161,29,2
786,11153,9392,15849,36394,206,70,16,1,200,79,10,2,389,171,27,0
787,5283,4109,19371,28763,197,87,9,0,194,91,7,0,392,168,24,3
788,11153,4696,14675,30524,202,70,16,1,190,89,8,0,387,175,25,0
789,12914,8805,24067,45786,208,61,22,0,203,75,15,0,398,158,26,5
790,11740,9979,21719,43438,204,71,14,2,201,74,14,1,397,157,31,2
791,12327,9392,26415,48134,204,72,12,3,204,76,13,1,401,153,27,6
792,7631,10566,18784,36981,200,79,13,0,206,72,15,1,392,167,26,2
793,5870,9392,22306,37568,199,85,10,0,205,73,16,0,398,155,32,2
794,11740,8805,19958,40503,192,71,14,2,197,78,12,1,394,163,28,2
795,8805,11153,25828,45786,197,78,12,1,204,70,16,1,403,146,35,3
796,11740,10566,17610,39916,206,71,14,2,205,69,18,0,389,174,21,3
797,7044,15262,20545,42851,199,84,9,1,209,65,14,4,395,161,29,2
798,9392,6457,19958,35807,203,79,10,2,200,83,11,0,393,166,25,3
799,10566,7044,20545,38155,201,72,15,1,197,81,12,0,394,164,26,3
800,7044,11153,21132,39329,192,84,9,1,205,73,13,2,396,159,30,2
801,9392,10566,27002,46960,205,73,16,0,203,78,9,3,400,157,22,8
802,8805,8218,15262,32285,197,84,6,3,202,80,11,1,387,176,23,1
803,7044,10566,24067,41677,197,81,12,0,201,75,12,2,400,152,32,3
804,11153,8218,22306,41677,202,73,13,2,193,80,11,1,394,167,20,6
