Number,H0 Cycles,H1 Cycles,H Cycles,Cycles,H0S0,H0S1,H0S2,H0S3,H1S0,H1S1,H1S2,H1S3,HS0,HS1,HS2,HS3
849,8805,5283,20545,34633,201,75,15,0,192,90,6,1,393,167,23,4
850,14675,6457,22306,43438,211,64,16,3,199,83,11,0,397,158,29,3
851,11153,8805,17610,37568,204,73,13,2,198,75,15,0,388,177,18,4
852,5870,9392,18197,33459,195,85,10,0,203,79,10,2,393,163,31,0
853,8805,11740,24067,44612,201,78,12,1,205,71,14,2,399,155,29,4
854,9392,10566,22893,42851,205,73,16,0,206,72,15,1,400,150,36,1
855,7044,12914,17610,37568,195,81,12,0,205,64,19,1,390,171,24,2
856,6457,7631,18197,32285,199,83,11,0,201,82,10,1,392,166,28,1
857,14088,15849,21132,51069,210,66,15,3,205,66,12,5,397,156,33,1
858,5283,14088,19371,38742,193,87,9,0,207,66,15,3,394,162,30,1
859,9392,5283,19371,34046,203,73,16,0,198,87,9,0,395,159,33,0
860,12914,11153,22893,46960,209,67,16,2,205,73,13,2,398,156,30,3
861,6457,5870,24067,36394,198,86,8,1,197,85,10,0,400,152,32,3
862,7631,8805,25241,41677,201,79,13,0,202,75,15,0,400,154,28,5
863,12914,10566,22306,45786,208,70,13,3,205,72,15,1,396,161,26,4
864,9979,8805,19958,38742,200,74,14,1,203,78,12,1,394,163,28,2
865,14675,10566,22306,47547,206,61,19,2,202,75,12,2,395,164,23,5
866,4696,12914,23480,41090,194,89,8,0,209,67,16,2,398,157,28,4
867,7631,9392,19371,36394,199,79,13,0,203,76,13,1,392,168,24,3
868,5283,10566,24654,40503,198,87,9,0,205,72,15,1,402,147,36,2
869,11153,10566,19958,41677,194,73,13,2,207,69,18,0,392,169,22,4
870,14088,13501,19958,47547,209,69,12,4,209,68,14,3,394,163,28,2
871,9979,9392,18784,38155,201,74,14,1,199,79,10,2,392,167,26,2
872,9392,4109,22306,35807,201,76,13,1,191,91,7,0,398,155,32,2
873,7044,7631,23480,38155,195,81,12,0,200,82,10,1,397,160,25,5
874,12327,11153,22893,46373,205,66,18,1,206,73,13,2,397,159,27,4
875,11740,5870,21719,39329,196,68,17,1,196,85,10,0,396,160,28,3
876,8805,9979,21132,39916,203,78,12,1,200,77,11,2,396,159,30,2
877,11740,12327,28176,52243,207,71,14,2,204,66,18,1,404,147,30,6
878,8805,6457,21719,36981,202,75,15,0,197,86,8,1,396,160,28,3
879,8218,10566,15849,34633,202,80,11,1,202,72,15,1,387,177,21,2
880,7631,9979,19371,36981,201,79,13,0,199,77,11,2,393,165,27,2
881,8805,9392,17610,35807,203,78,12,1,201,79,10,2,390,171,24,2
882,7631,5870,23480,36981,201,79,13,0,196,85,10,0,399,154,31,3
883,9979,7044,18784,35807,203,80,8,3,198,87,6,2,392,167,26,2
884,11740,7631,19958,39329,207,71,14,2,201,82,10,1,394,163,28,2
885,12327,10566,17023,39916,209,66,18,1,203,72,15,1,390,170,26,1
886,8218,10566,23480,42264,196,77,14,0,196,75,12,2,400,151,34,2
887,12914,8805,19958,41677,204,70,13,3,193,78,12,1,393,166,25,3
888,13501,6457,19371,39329,209,68,14,3,199,83,11,0,394,162,30,1
889,11740,5283,28176,45199,206,71,14,2,193,90,6,1,404,147,30,6
890,11740,11153,19371,42264,205,68,17,1,204,76,10,3,394,162,30,1
891,18784,5870,22306,46960,214,50,23,3,199,85,10,0,398,155,32,2
892,11740,9392,16436,37568,207,68,17,1,204,73,16,0,389,172,25,1
893,9392,5283,22893,37568,202,79,10,2,198,87,9,0,397,159,27,4
894,7044,12914,23480,43438,198,84,9,1,204,67,16,2,397,160,25,5
895,11740,6457,18197,36394,202,68,17,1,199,86,8,1,392,166,28,1
896,11153,6457,19958,37568,204,73,13,2,200,83,11,0,393,166,25,3
897,10566,7044,19958,37568,204,72,15,1,191,84,9,1,393,166,25,3
898,4109,7044,15849,27002,194,91,7,0,201,81,12,0,385,183,15,4
899,8805,7631,18784,35220,204,75,15,0,196,82,10,1,393,164,29,1
900,4109,11740,27002,42851,196,91,7,0,206,71,14,2,402,151,28,6
901,9392,9392,18197,36981,200,76,13,1,203,73,16,0,392,166,28,1
902,14088,9979,20545,44612,205,69,12,4,206,71,17,0,395,161,29,2
903,3522,14675,18784,36981,193,93,6,0,209,67,13,4,390,173,20,4
904,8218,7044,17610,32872,196,77,14,0,198,81,12,0,390,171,24,2
905,9979,8805,19371,38155,204,77,11,2,197,78,12,1,393,165,27,2
906,10566,12914,20545,44025,200,75,12,2,209,61,22,0,395,161,29,2
907,8805,7631,19371,35807,204,75,15,0,200,79,13,0,392,168,24,3
908,18784,6457,20545,45786,211,62,11,7,199,83,11,0,394,164,26,3
909,8218,6457,24067,38742,202,77,14,0,198,83,11,0,399,155,29,4
910,11153,8218,17610,36981,203,73,13,2,202,77,14,0,392,165,30,0
911,11153,11153,24067,46373,205,70,16,1,200,76,10,3,398,158,26,5
912,6457,9979,21132,37568,198,83,11,0,202,74,14,1,395,162,27,3
913,10566,9979,18197,38742,206,72,15,1,205,74,14,1,390,172,22,3
914,11153,9392,24654,45199,206,70,16,1,203,76,13,1,399,156,27,5
915,13501,8218,17023,38742,208,68,14,3,202,77,14,0,389,173,23,2
916,11153,6457,17610,35220,203,73,13,2,200,83,11,0,392,165,30,0
917,11153,8218,25241,44612,204,73,13,2,202,77,14,0,402,148,34,3
918,9392,15262,19958,44612,202,82,7,3,208,68,11,5,395,160,31,1
919,5283,11153,22306,38742,196,87,9,0,205,70,16,1,398,155,32,2
920,5870,9979,13501,29350,197,85,10,0,206,71,17,0,384,182,20,1
921,10566,16436,16436,43438,206,69,18,0,214,58,19,3,389,172,25,1
922,7044,9979,25241,42264,197,84,9,1,203,77,11,2,398,160,22,7
923,5870,10566,22306,38742,196,85,10,0,202,72,15,1,397,158,29,3
924,9392,4109,18784,32285,205,73,16,0,191,91,7,0,389,176,17,5
925,8218,6457,22306,36981,201,77,14,0,193,83,11,0,398,155,32,2
926,5870,7631,19958,33459,199,85,10,0,202,79,13,0,396,157,34,0
927,8805,9392,24654,42851,202,78,12,1,205,73,16,0,402,147,36,2
928,5283,11740,23480,40503,194,87,9,0,202,71,14,2,400,151,34,2
929,5283,14088,31111,50482,197,90,6,1,206,66,15,3,409,137,35,6
930,7631,14675,18784,41090,201,79,13,0,207,64,16,3,391,170,23,3
931,7044,9392,20545,36981,198,81,12,0,200,76,13,1,394,164,26,3
932,4696,5283,22306,32285,188,89,8,0,197,90,6,1,397,158,29,3
933,7631,9392,24067,41090,192,79,13,0,203,79,10,2,398,158,26,5
934,12914,6457,29937,49308,210,64,19,1,199,86,8,1,406,144,30,7
935,8218,8805,20545,37568,200,80,11,1,203,78,12,1,396,158,32,1
936,6457,8805,21719,36981,200,83,11,0,199,81,9,2,397,157,31,2
937,7631,11153,21719,40503,199,82,10,1,202,76,10,3,396,160,28,3
938,12914,8805,21719,43438,208,70,13,3,204,75,15,0,398,154,34,1
939,9392,4109,22893,36394,204,76,13,1,192,91,7,0,399,153,33,2
940,9979,7044,27589,44612,201,77,11,2,201,81,12,0,402,152,26,7
941,5283,11740,24067,41090,198,87,9,0,207,71,14,2,398,158,26,5
942,8805,7631,22306,38742,203,78,12,1,199,79,13,0,397,158,29,3
943,11153,12327,17023,40503,206,73,13,2,207,66,18,1,390,170,26,1
944,11153,8218,21719,41090,193,70,16,1,196,80,11,1,396,160,28,3
945,9979,6457,19958,36394,196,74,14,1,199,83,11,0,394,163,28,2
946,12327,11153,18197,41677,208,69,15,2,206,73,13,2,391,169,25,2
947,8805,10566,25241,44612,195,78,12,1,206,72,15,1,399,157,25,6
948,4109,5283,18784,28176,196,91,7,0,197,87,9,0,392,167,26,2
949,11740,8805,22306,42851,205,74,11,3,202,81,9,2,395,164,23,5
950,10566,7044,21132,38742,203,72,15,1,200,81,12,0,395,162,27,3
951,5870,7631,18784,32285,196,85,10,0,202,79,13,0,392,167,26,2
952,9392,10566,22893,42851,204,76,13,1,206,72,15,1,397,159,27,4
953,8805,5870,22893,37568,198,75,15,0,199,85,10,0,397,159,27,4
954,7044,7631,25828,40503,200,84,9,1,200,79,13,0,401,152,29,5
955,9392,12327,18197,39916,201,79,10,2,197,69,15,2,390,172,22,3
956,9979,5870,17023,32872,204,74,14,1,196,85,10,0,389,173,23,2
957,7044,7631,26415,41090,200,84,9,1,201,79,13,0,402,150,30,5
958,12327,5283,15849,33459,209,66,18,1,194,87,9,0,387,177,21,2
959,15262,6457,21132,42851,210,65,14,4,199,83,11,0,394,165,24,4
960,9392,12914,16436,38742,204,76,13,1,207,70,13,3,388,175,22,2
961,7631,10566,17610,35807,199,82,10,1,205,72,15,1,391,168,27,1
962,12914,14675,17023,44612,201,64,19,1,208,64,16,3,391,167,29,0
963,12327,10566,19371,42264,207,66,18,1,206,72,15,1,392,168,24,3
964,6457,11740,21719,39916,197,83,11,0,206,71,14,2,397,157,31,2
965,13501,8805,19371,41677,208,65,17,2,203,78,12,1,394,162,30,1
966,9979,6457,24654,41090,205,74,14,1,200,83,11,0,400,153,30,4
967,13501,5870,25241,44612,203,68,14,3,196,88,7,1,400,154,28,5
968,11153,8218,25241,44612,206,67,19,0,202,77,14,0,398,160,22,7
969,11153,5870,18197,35220,203,73,13,2,197,85,10,0,392,166,28,1
970,5283,12327,17023,34633,186,87,9,0,206,72,12,3,391,167,29,0
971,7044,10566,23480,41090,196,81,12,0,194,72,15,1,398,157,28,4
972,11740,12914,27589,52243,207,71,14,2,207,67,16,2,403,149,29,6
973,12327,5283,20545,38155,208,69,15,2,177,87,9,0,394,164,26,3
974,10566,16436,27589,54591,207,69,18,0,204,58,19,3,403,149,29,6
975,12327,11740,23480,47547,197,66,18,1,205,74,11,3,400,151,34,2
976,11740,8805,19371,39916,207,71,14,2,200,81,9,2,392,168,24,3
977,7631,9392,24654,41677,201,79,13,0,204,76,13,1,401,150,33,3
978,13501,7044,29350,49895,210,65,17,2,200,81,12,0,409,134,41,3
979,12327,12914,19958,45199,207,66,18,1,201,73,10,4,394,163,28,2
980,10566,8805,20545,39916,201,75,12,2,201,78,12,1,394,164,26,3
981,10566,7044,21719,39329,189,75,12,2,200,81,12,0,394,166,22,5
982,15262,7631,20545,43438,210,62,17,3,200,82,10,1,395,161,29,2
983,12914,9979,23480,46373,209,67,16,2,193,77,11,2,399,154,31,3
984,7631,9392,19371,36394,201,82,10,1,202,73,16,0,392,168,24,3
985,5283,9979,16436,31698,198,87,9,0,205,71,17,0,387,178,19,3
986,9979,11153,20545,41677,204,74,14,1,203,76,10,3,393,167,23,4
987,6457,9979,15262,31698,198,83,11,0,204,74,14,1,387,176,23,1
988,5870,8218,27589,41677,194,85,10,0,194,80,11,1,405,143,35,4
989,5870,7044,24067,36981,198,85,10,0,200,84,9,1,398,158,26,5
990,4109,7044,25828,36981,194,91,7,0,201,81,12,0,400,155,26,6
991,5870,7631,21132,34633,197,85,10,0,201,79,13,0,396,159,30,2
992,6457,8805,21132,36394,199,83,11,0,203,78,12,1,395,162,27,3
993,9392,12327,27589,49308,203,76,13,1,208,69,15,2,405,143,35,4
994,14675,6457,15262,36394,210,61,19,2,195,83,11,0,386,179,20,2
995,7631,7044,20545,35220,202,79,13,0,198,81,12,0,395,161,29,2
996,5870,7044,21719,34633,191,85,10,0,201,81,12,0,397,157,31,2
997,9392,8805,22893,41090,202,76,13,1,204,75,15,0,397,159,27,4
998,9392,7044,22893,39329,195,76,13,1,200,81,12,0,395,165,21,6
999,5283,8218,18784,32285,197,87,9,0,199,77,14,0,391,170,23,3
